r_A,g_r,pmf_kcal_mol
1.9307075198299728,0.0,0.0
1.9464683975428705,0.0,0.0
1.9622292752557682,0.0,0.0
1.9779901529686659,0.0,0.0
1.9937510306815638,0.0,0.0
2.0095119083944617,0.0,0.0
2.025272786107359,0.0,0.0
2.041033663820257,0.0,0.0
2.0567945415331543,0.0,0.0
2.0725554192460525,0.0,0.0
2.08831629695895,0.0,0.0
2.104077174671848,0.0,0.0
2.119838052384746,0.0,0.0
2.1355989300976432,0.0,0.0
2.1513598078105414,0.0,0.0
2.1671206855234386,0.0,0.0
2.1828815632363368,0.0,0.0
2.198642440949234,0.0,0.0
2.214403318662132,0.0,0.0
2.2301641963750294,0.0,0.0
2.2459250740879275,0.0,0.0
2.2616859518008257,0.0,0.0
2.277446829513723,0.0,0.0
2.293207707226621,0.0,0.0
2.3089685849395183,0.0,0.0
2.3247294626524164,0.0,0.0
2.3404903403653137,0.0,0.0
2.356251218078212,0.0,0.0
2.372012095791109,0.0,0.0
2.387772973504007,0.0,0.0
2.403533851216905,0.0,0.0
2.4192947289298026,0.0,0.0
2.4350556066427007,0.0,0.0
2.450816484355598,0.0,0.0
2.466577362068496,0.0,0.0
2.4823382397813933,0.0,0.0
2.4980991174942915,0.0,0.0
2.5138599952071887,0.0,0.0
2.529620872920087,0.0,0.0
2.545381750632984,0.0,0.0
2.5611426283458822,0.0,0.0
2.5769035060587804,0.0,0.0
2.5926643837716776,0.0,0.0
2.6084252614845758,0.0,0.0
2.624186139197473,0.0,0.0
2.639947016910371,0.0,0.0
2.6557078946232684,0.0,0.0
2.6714687723361665,0.0,0.0
2.687229650049064,0.0,0.0
2.702990527761962,0.0,0.0
2.7187514054748596,0.0,0.0
2.7345122831877573,0.0,0.0
2.7502731609006554,0.0,0.0
2.7660340386135527,0.0,0.0
2.781794916326451,0.0,0.0
2.797555794039348,0.0,0.0
2.813316671752246,0.0,0.0
2.8290775494651434,0.0,0.0
2.8448384271780416,0.0,0.0
2.860599304890939,0.0,0.0
2.876360182603837,0.0,0.0
2.892121060316735,0.0,0.0
2.9078819380296324,0.0,0.0
2.9236428157425305,0.0,0.0
2.9394036934554277,0.0,0.0
2.955164571168326,0.0,0.0
2.970925448881223,0.0,0.0
2.9866863265941213,0.0,0.0
3.0024472043070185,0.0,0.0
3.0182080820199166,0.0,0.0
3.0339689597328148,0.0,0.0
3.049729837445712,0.0,0.0
3.06549071515861,0.0,0.0
3.0812515928715074,0.0,0.0
3.0970124705844055,0.0,0.0
3.112773348297303,0.0,0.0
3.128534226010201,0.0,0.0
3.144295103723098,0.0,0.0
3.1600559814359963,0.0,0.0
3.175816859148894,0.0,0.0
3.1915777368617917,0.0,0.0
3.20733861457469,0.0,0.0
3.223099492287587,0.0,0.0
3.238860370000485,0.0,0.0
3.2546212477133825,0.0,0.0
3.2703821254262806,0.0,0.0
3.286143003139178,0.0,0.0
3.301903880852076,0.0,0.0
3.3176647585649732,0.0,0.0
